,asset,time,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
1033,btc,2016-10-30T00:00:00.000000000Z,475892,1.8226058,11160250070.84531610176344703608,2118048.47915512,62.14328129,699.333410987726,15958411.10334308,205720,179589005.26547749526686165368,61.110780259269
1034,btc,2016-10-31T00:00:00.000000000Z,587693,1.81838639,11154581487.06092315572086645675,1853292.41926072,38.83160078,698.897727995325,15960248.60326279,244943,287255257.683606100373279616,61.0995197339954
1035,btc,2016-11-01T00:00:00.000000000Z,602551,1.89570499,11661529206.40790362088215430231,1815470.1249901,35.47375029,730.578480011689,15962048.60321279,248580,328736857.8224899844772853275,61.0390841043149
1036,btc,2016-11-02T00:00:00.000000000Z,586295,1.91748494,11819005784.70670008335751085274,1676788.37933113,42.12524198,740.367055523086,15963711.10321259,266408,280568258.55439688536906797988,60.9045573799632
1037,btc,2016-11-03T00:00:00.000000000Z,596454,1.78730294,11015326935.81564013058309104271,1954151.87064906,33.99406286,689.939206954997,15965648.60320243,273399,324036787.88892127570074200806,60.8263288673703
1038,btc,2016-11-04T00:00:00.000000000Z,552456,1.82526343,11263702567.80987400711617231572,1462462.04513091,35.88192089,705.432016656926,15967098.60319222,246796,313910244.7539854381983157618,60.9537813557418
1039,btc,2016-11-05T00:00:00.000000000Z,550980,1.82779984,11287152646.52619749979373823556,1856081.59672813,55.06174516,706.819325569842,15968936.10319218,236443,204990826.45708412814755741574,61.122454622343
1040,btc,2016-11-06T00:00:00.000000000Z,526347,1.84962453,11433480682.43062767648064680128,1936557.43909685,56.80516098,715.896879777908,15970848.60319216,224122,201275385.63147183663183528972,61.299468115638
1041,btc,2016-11-07T00:00:00.000000000Z,624606,1.82330887,11279602080.23291952222242078904,1847956.77194863,38.62098162,706.181216773816,15972673.60319169,277860,292058917.34986221108225186248,61.4293530370765
1042,btc,2016-11-08T00:00:00.000000000Z,660400,1.83441017,11371425389.70757244737233764375,2139073.24972136,36.77880235,711.835846580947,15974786.10318125,293470,309184222.00844819921301447173,61.4351067643023
1043,btc,2016-11-09T00:00:00.000000000Z,615584,1.85565551,11527158053.3696023868765928671,1860614.01011266,31.64976535,721.50150993571,15976623.60318101,272305,364209905.6604353168103613396,61.3984097983734
1044,btc,2016-11-10T00:00:00.000000000Z,603667,1.83311387,11399343106.15487350150765702541,2126416.01155733,45.27076352,713.407615604909,15978723.60318049,265908,251803641.48149895921730927234,61.2750660731952
1045,btc,2016-11-11T00:00:00.000000000Z,565366,1.83712016,11437483628.03898063783596376585,2063129.82073717,48.80104503,715.703310637055,15980761.10317047,258625,234369645.59484352370965705975,61.1615549859041
1046,btc,2016-11-12T00:00:00.000000000Z,583489,1.80622068,11249497647.67224552126431430825,2126416.01155733,68.79221998,703.847551139685,15982861.10317045,231859,163528632.32171629768663708305,61.0378351930654
1047,btc,2016-11-13T00:00:00.000000000Z,527525,1.80498214,11247212520.8573954900834364273,1797327.8192925,63.69536433,703.626435300994,15984636.10317045,213970,176578195.91578676953511257,60.9014471247867
1048,btc,2016-11-14T00:00:00.000000000Z,640753,1.80858594,11280973045.06135318535823082742,2177044.96421346,39.62171639,705.643584161309,15986786.10317038,273607,284716919.72713177794000834619,60.843937734508
1049,btc,2016-11-15T00:00:00.000000000Z,651339,1.82341234,11389530640.510002809220129688,1974529.15358895,40.50026307,712.3471528346,15988736.10316028,279913,281221152.109562358656242498,60.7721070570154
1050,btc,2016-11-16T00:00:00.000000000Z,621011,1.89261677,11866029637.54295838992229067561,2164387.72604942,35.27965281,742.050117592051,15990873.60305011,292039,336342018.48321754254539297924,60.7523030013616
1051,btc,2016-11-17T00:00:00.000000000Z,625675,1.87204522,11759839928.48304862809822819909,2012500.86808104,31.97905281,735.318080537697,15992861.10288997,274309,367735717.42988980285358026002,60.7171372289756
